,date,tweet
0,202204021200,[BTCUSDT - WEEK] #BTC #BTCUSDT #BINANCE #BTCUSD #CRYPTO #BITFINEX #BITCOINGRAPHIC #OKEX #ETH #ETHEREUM #ETHUSDT… https://t.co/YIZYu2Tidt
1,202204021200,#ethereum Daily Analysis. Up or Down ? for BINANCE:ETHUSDT by Trader_Needs #ETHUSDT https://t.co/UElJ4AL8Es https://t.co/rUIdPDzyzE
2,202204021200,[BTCUSDT - WEEK] #BTC #BTCUSDT #BINANCE #BTCUSD #CRYPTO #BITFINEX #BITCOINGRAPHIC #OKEX #ETH #ETHEREUM #ETHUSDT… https://t.co/bpjxw5fk4r
3,202204021200,Thoughts on $ETH #ETH! See Trader_Needs's idea on TradingView below. https://t.co/lrl7nVDe1Q
4,202204021200,ETHEREUM Daily Analysis. Up or Down ? - #ETHUSDT chart on @TradingView https://t.co/jeCP5ZUTu3
5,202204021200,#ETHUSDT 1h UTC/GMT TIME:2022-04-03 11:04:35 https://t.co/YWsJAi4hAm
6,202204021200,#ETHUSDT 1h UTC/GMT TIME:2022-04-03 11:04:35 https://t.co/panEcEzOyh
7,202204021200,"Respecting the 1day DMA ressistance for 3 days. If we get rejected here, prepare for the dump
#Ethereum #ETH… https://t.co/JsGHrtTG6H"
8,202204021200,[BTCUSDT - WEEK] #BTC #BTCUSDT #BINANCE #BTCUSD #CRYPTO #BITFINEX #BITCOINGRAPHIC #OKEX #ETH #ETHEREUM #ETHUSDT… https://t.co/edh7toBv6M
9,202204021200,"Stock Alert

#ETHUSDT - Sell alert at CMP: 3483.27
TimeFrame: 30mins

Alerts are for educational purpose only.
Prev… https://t.co/0RluB2XEc3"
10,202204021200,"Pairs:ETHUSDT 
 SELL:3482.24000
 Time :4/3/2022 1:26:45 PM
 Average Decision:41.87569 FifteenMinutes 
 Estimated Di… https://t.co/viNL2Jmg8j"
11,202204021200,"Pairs:ETHUSDT 
 SELL:3482.24000
 Time :4/3/2022 1:26:45 PM
 Average Decision:41.87569 FifteenMinutes 
 Estimated Di… https://t.co/hS0PM87W1P"
12,202204021200,[BTCUSDT - WEEK] #BTC #BTCUSDT #BINANCE #BTCUSD #CRYPTO #BITFINEX #BITCOINGRAPHIC #OKEX #ETH #ETHEREUM #ETHUSDT… https://t.co/nOJkj8kptz
13,202204021200,#ETHUSDT 1h UTC/GMT TIME:2022-04-03 10:04:26 https://t.co/SjQHpiNety
14,202204021200,#ETHUSDT 1h UTC/GMT TIME:2022-04-03 10:04:26 https://t.co/M0w0h8QqJm
15,202204021200,"$ETH $ETHUSDT #ETHEREUM @ethereumproject - Daily: In the short term, there could be an acceleration of the basic bu… https://t.co/ZT8WXPXh7R"
16,202204021200,"$ETH $ETHUSDT #ETHEREUM - Daily: In the short term, there could be an acceleration of the basic bullish trend on ET… https://t.co/BxKbySTTU0"
17,202204021200,"#Binance Futures Liquidated on:
🔴 #SOLUSDT $109,364 @ 139.733 
🔴 #BTCUSDT $78,192 @ 46,543 
🔴 #FTMUSDT $47,695 @ 1.… https://t.co/Bm4LPQNBOC"
18,202204021200,"Pairs:ETHUSDT 
 BUY:3499.13000 
 Time :4/3/2022 12:54:21 PM
 Average Decision: 60.89968FifteenMinutes 
 Estimated D… https://t.co/KrXKzNnWLQ"
19,202204021200,"Pairs:ETHUSDT 
 BUY:3499.13000 
 Time :4/3/2022 12:54:21 PM
 Average Decision: 60.89968FifteenMinutes 
 Estimated D… https://t.co/88o20T9gDE"
20,202204021200,[BTCUSDT - WEEK] #BTC #BTCUSDT #BINANCE #BTCUSD #CRYPTO #BITFINEX #BITCOINGRAPHIC #OKEX #ETH #ETHEREUM #ETHUSDT… https://t.co/iiKdmX7uDu
21,202204021200,"Stock Alert

#ETHUSDT - Buy alert at CMP: 3488.79
TimeFrame: 30mins

Alerts are for educational purpose only.
Previ… https://t.co/NBWfsfo6nt"
22,202204021200,"Pairs:ETHUSDT 
 SELL:3477.35000
 Time :4/3/2022 12:19:28 PM
 Average Decision:46.56852 FifteenMinutes 
 Estimated D… https://t.co/Kg1hjyeVI1"
23,202204021200,"Pairs:ETHUSDT 
 SELL:3477.35000
 Time :4/3/2022 12:19:28 PM
 Average Decision:46.56852 FifteenMinutes 
 Estimated D… https://t.co/Bshz1HcSnO"
24,202204021200,#ETHUSDT 1h UTC/GMT TIME:2022-04-03 09:07:04 https://t.co/VB9G67iSic
25,202204021200,#ETHUSDT 1h UTC/GMT TIME:2022-04-03 09:07:04 https://t.co/ydwdWrLmHx
26,202204021200,[BTCUSDT - WEEK] #BTC #BTCUSDT #BINANCE #BTCUSD #CRYPTO #BITFINEX #BITCOINGRAPHIC #OKEX #ETH #ETHEREUM #ETHUSDT… https://t.co/6uWf8frbd4
27,202204021200,"Stock Alert

#ETHUSDT - Sell alert at CMP: 3475.88
TimeFrame: 30mins

Alerts are for educational purpose only.
Prev… https://t.co/BXp7KkWulH"
28,202204021200,[BTCUSDT - WEEK] #BTC #BTCUSDT #BINANCE #BTCUSD #CRYPTO #BITFINEX #BITCOINGRAPHIC #OKEX #ETH #ETHEREUM #ETHUSDT… https://t.co/iOCY3Xk73Z
29,202204021200,#ETHUSDT 1h UTC/GMT TIME:2022-04-03 08:04:28 https://t.co/9I5YJHDTFL
30,202204021200,#ETHUSDT 1h UTC/GMT TIME:2022-04-03 08:04:28 https://t.co/AupXYYVKQ3
31,202204021200,"⚡Trade signal⚡
📌 Pair: ETHUSDT
🏷️ Side: BUY
🏷️ Type: MARKET
⚖️ Qty: 1
💵 Price: 3492.96
💸 Total: 3489.47
📋 Current Open Order: 1"
32,202204021200,"Stock Alert

#ETHUSDT - Buy alert at CMP: 3490.1
TimeFrame: 30mins

Alerts are for educational purpose only.
Previe… https://t.co/zkA8V4PbYl"
33,202204021200,[BTCUSDT - WEEK] #BTC #BTCUSDT #BINANCE #BTCUSD #CRYPTO #BITFINEX #BITCOINGRAPHIC #OKEX #ETH #ETHEREUM #ETHUSDT… https://t.co/CjRJQ6t8oh
34,202204021200,RT @CoinforecastOrg: 🚨 Signal Alert 🚨 Trading signal for $ETH on #Binance Futures:  #ETH (ETHUSDT_220624) ⬆️ LONG (BUY) position 💪 Signal s…
35,202204021200,"Stock Alert

#ETHUSDT - Sell alert at CMP: 3483.59
TimeFrame: 30mins

Alerts are for educational purpose only.
Prev… https://t.co/wksVgaLmX7"
36,202204021200,🚨 Signal Alert 🚨 Trading signal for $ETH on #Binance Futures:  #ETH (ETHUSDT_220624) ⬆️ LONG (BUY) position 💪 Signa… https://t.co/wheFzNiPSM
37,202204021200,"$ETH OverBought (Short Signal)
Success Rate: 76.85% (405/527)
Average Gain: 1.09%
Chart Period: 30
https://t.co/Tf8BbACVpE"
38,202204021200,[BTCUSDT - WEEK] #BTC #BTCUSDT #BINANCE #BTCUSD #CRYPTO #BITFINEX #BITCOINGRAPHIC #OKEX #ETH #ETHEREUM #ETHUSDT… https://t.co/u9JJXHRess
39,202204021200,RT @TheCryptoTeller: Would You Love To See #ETHUSDT Touching $7000 Within 2022?
40,202204021200,#ETHUSDT 1h UTC/GMT TIME:2022-04-03 07:06:42 https://t.co/5tBalBv7f1
41,202204021200,#ETHUSDT 1h UTC/GMT TIME:2022-04-03 07:06:42 https://t.co/Xd66AwE6k4
42,202204021200,"#Binance Futures Liquidated on:
🔴 #NEARUSDT $196,075 @ 16.7554 
🔴 #LUNAUSDT $140,775 @ 118.409 
🔴 #ETHUSDT $94,303… https://t.co/BMJPn5jeoh"
43,202204021200,"Liquidated short on ETHUSDT: Buy 60,000 @ 3507.05"
